Domain,CNPJ,Company Name,Address,Phone,RDAP Email,ReceitaWS Email,Socio 1 Nome,Socio 1 Cargo,Socio 2 Nome,Socio 2 Cargo
decorplane.com.br,39.781.767/0001-30,JJO MOVEIS SOB MEDIDAS LTDA,"AVENIDA PRESIDENTE GENERAL DUTRA, 100, CIDADE PARQUELANDIA, MOGI DAS CRUZES, SP",(11) 3596-0291,decorplanehospedagem@gmail.com,comercial@primeiravia.com,JOSINEIDE JOSELIA DA SILVA,49-Sócio-Administrador,ORLANDO DOS SANTOS,49-Sócio-Administrador
dcoratto.com.br,28.875.033/0001-02,DAYANE ALBERTINA DE OLIVEIRA BRITO 42934234860,"AVENIDA TIBURCIO DE SOUZA, 196, PARQUE RESIDENCIAL MARENGO, ITAQUAQUECETUBA, SP",(11) 4645-6470,stermkt@outlook.com,dcorattodesigner@gmail.com,Not available,Not available,Not available,Not available
carvalhoplanejados.com.br,44.062.038/0001-64,CARVALHO PROJETOS ESPECIAIS EM MARCENARIA E OBRAS LTDA,"RUA DR ORNELAS, 119, CANINDE, SAO PAULO, SP",(11) 4312-2796,douglas@pmeinova.com.br,cristiane@pmeinova.com.br,DOUGLAS TADEU DE CARVALHO,49-Sócio-Administrador,Not available,Not available
italineacasamogi.com.br,49.803.700/0001-03,CASA MOGI PLANEJADOS LTDA,"AVENIDA JAPAO, 382, VILA VITORIA, MOGI DAS CRUZES, SP",(11) 3596-0291,CASAMOGIPLANEJADOS@gmail.com,casamogiplanejados@gmail.com,VICTOR HUGO RODRIGUES MARTINS,49-Sócio-Administrador,MARIANA DE SIQUEIRA CARDOSO SILVA,49-Sócio-Administrador
brvmoveisplanejados.com.br,19.632.325/0001-15,ROSE SANTOS DE SOUZA 11338234838,"AVENIDA FRANCISCO FERREIRA LOPES, 2866, VILA JUNDIAI, MOGI DAS CRUZES, SP",(11) 4566-6904,brvmoveisplanejados@gmail.com,brvmoveisplanejados@gmail.com,Not available,Not available,Not available,Not available
listamogidascruzes.com.br,03.239.187/0001-79,CLICKMIDIA MARKETING LTDA,"RUA GISELE MARTINS, 828, CIDADE MORUMBI, SAO JOSE DOS CAMPOS, SP",(12) 3209-8682 / (12) 3209-8683,eduardo@clickmidia.com.br,atendimento@clikmidia.com.br,NEIDE REGINA DA CUNHA OLIVEIRA,22-Sócio,EDUARDO ROGES DE OLIVEIRA,49-Sócio-Administrador
larbellaplanejados.com.br,43.721.021/0001-09,LAR BELLA MOVEIS LTDA,"RUA CORONEL SOUZA FRANCO, 567, CENTRO, MOGI DAS CRUZES, SP",(11) 4755-7558,LARBELLAMOVEIS@gmail.com,deisesouza2003@yahoo.com.br,DEISE DE SOUZA ARAUJO LOIOLA,49-Sócio-Administrador,Not available,Not available
studiocasamoveis.com.br,27.727.564/0001-87,27.727.564 LUDMILA DE JESUS SANTOS,"AVENIDA ROQUE STILHANO, 41, JARDIM NATHALIE, MOGI DAS CRUZES, SP",(11) 9495-2388,studiocasabrasileira@hotmail.com,studiocasabrasileira@hotmail.com,Not available,Not available,Not available,Not available
domnamadeira.com.br,20.094.582/0001-20,FERNANDA MOURA CARMO FELIPE 41480103896,"RUA PEDRO PAULO DE CARLO, 858, VILA SAO SEBASTIAO, MOGI DAS CRUZES, SP",(11) 1298-8911,recasp@gmail.com,adm@alkimincontabilidade.com.br,Not available,Not available,Not available,Not available
marcenariarozanoalves.com.br,10.592.007/0001-01,ROZANO ALVES FERREIRA,"RUA HELIO GUIMARAES LANZAS, 220, CHACARA MIGUEL BADRA, SUZANO, SP",(11) 4748-5089 / (11) 4747-3518,mario.ccfpj@yahoo.com.br,progresso.contabilidade@hotmail.com,Not available,Not available,Not available,Not available
